Name,Rating,Number,Location
The Lighthouse Cafe,4 star rating,(949) 933-1001,1600 W Balboa Blvd
Bosscat Kitchen and Libations,4.5 star rating,(949) 333-0917,4647 MacArthur Blvd
Shorebird,4.5 star rating,(949) 287-6627,2220 Newport Blvd
The Beachcomber,4 star rating,(949) 376-6900,15 Crystal Cv
Mama D's Italian Kitchen,4.5 star rating,(949) 675-6262,3012 Newport Blvd
Sol Grill,4.5 star rating,(949) 287-6797,2400 W Coast Hwy
Dory Deli,4 star rating,(949) 220-7886,2108 3/4 W Oceanfront
Hook & Anchor,4.5 star rating,(949) 423-7169,3305 Newport Blvd
Stacks Pancake House,4 star rating,(949) 264-3677,1330 Bison Ave
Tavern House Kitchen + Bar,4.5 star rating,(949) 673-8464,333 Bayside Dr
Pur Bowls : Acai Bowls,4.5 star rating,(714) 465-9384,9045 Atlanta Ave
Mastro's Ocean Club,4 star rating,(949) 376-6990,8112 E Coast Hwy
Rockin' Baja Lobster Coastal Cantina,4 star rating,(949) 723-0606,2104 W Oceanfront
Moulin,4 star rating,(949) 474-0920,1000 Bristol St N
Cappy's Cafe,4 star rating,(949) 867-1194,5930 W Coast Hwy
Helmsman Ale House,4.5 star rating,(949) 220-9977,2920 Newport Blvd
Bello by Sandro Nardone,4.5 star rating,(949) 520-7191,1200 Bison Ave
A Restaurant,4 star rating,(949) 650-6505,3334 W Coast Hwy
SOL Mexican Cocina,4 star rating,(949) 675-9800,251 E Coast Hwy
Fork and Knife,5 star rating,(949) 877-0330,401 E 17th St
The Dock,4.5 star rating,(949) 673-3625,2816 Lafayette Ave
Gulfstream,4 star rating,(949) 718-0188,850 Avocado Ave
TidePoole's,5 star rating,(949) 270-6547,6310 West Coast Hwy
Great Maple - Newport Beach,4 star rating,(949) 706-8282,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Farmhouse at Roger's Gardens,4 star rating,(949) 640-1415,2301 San Joaquin Hills Rd
Malibu Farm Lido,4 star rating,(949) 791-2096,3420 Via Oporto
Playa Mesa,4.5 star rating,(949) 287-5292,428 E 17th St
Eddie V's Prime Seafood,4.5 star rating,(949) 720-9925,1370 Bison Ave
Ai Pono Cafe,4.5 star rating,(949) 402-6877,283 East 17th St
Hanuman Thai Eatery,5 star rating,(657) 699-3123,355 Bristol St
Cafe Sevilla,4.5 star rating,(949) 688-1555,1870 Harbor Blvd
Javier's - Crystal Cove,3.5 star rating,(949) 494-1239,7832 E Pacific Coast Hwy
Oak Grill Newport Beach,4 star rating,(949) 760-4920,690 Newport Center Dr
Wilma's Patio Restaurant,4 star rating,(949) 675-5542,203 Marine Ave
ARC Butcher & Baker,4 star rating,(949) 877-0190,417 30th St
The Stand,4.5 star rating,(949) 873-5332,1332 Bison Ave
Bamboo Bistro,4 star rating,(949) 720-1289,2600 E Coast Hwy
Zinqué ,4 star rating,(949) 612-7259,3446 Via Oporto
Bear Flag Fish,4 star rating,(949) 673-3474,3421 Via Lido
True Food Kitchen,4 star rating,(949) 644-2400,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Toast Kitchen & Bakery,4.5 star rating,(949) 873-5057,1767 Newport Blvd
Buddha's Favorite,4 star rating,(949) 723-4203,634 Lido Park Dr
Fable & Spirit,4.5 star rating,(949) 409-9913,3441 Via Lido
Eat Chow,4.5 star rating,(949) 423-7080,211 62nd St
Sessions West Coast Deli,4.5 star rating,(949) 220-9001,2823 Newport Blvd
Habana,4 star rating,(714) 556-0176,"Located in <a href=""/biz/the-lab-anti-mall-costa-mesa"">The LAB Anti-Mall</a>"
Balboa Lily's,4.5 star rating,(949) 873-5455,711 E Balboa Blvd
Red O,4 star rating,(949) 718-0300,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Marché  Moderne,4 star rating,(714) 434-7900,7862 Pacific Coast Hwy
R+D Kitchen,4 star rating,(949) 219-0555,555 Newport Ctr Dr
Nobu,3.5 star rating,(949) 429-4440,3450 Via Oporto
The Cannery Restaurant,3.5 star rating,(949) 566-0060,3010 Lafayette Rd
Mamas Comfort Food & Cocktails NB,4.5 star rating,(949) 447-5444,2601 West Coast Hwy
Summer's Fried Chicken,4.5 star rating,(949) 877-0238,3305 Newport Blvd
Furiwa Togo,4.5 star rating,(949) 396-1136,19530 Jamboree Rd
Casablanca The Restaurant,4.5 star rating,(949) 423-7990,1976 Newport Blvd
CUCINA enoteca Newport Beach,4 star rating,(949) 706-1416,951 Newport Center Dr
Lido Bottle Works,4.5 star rating,(949) 529-2784,3408 Via Oporto
Louie's by the Bay,4 star rating,(949) 720-1800,2801 West Coast Hwy
Woody's Wharf,3.5 star rating,(949) 675-0474,2318 Newport Blvd
Nick The Greek,4.5 star rating,(949) 287-6700,1320 Bison Ave
The Winery Restaurant & Wine Bar,4.5 star rating,(949) 999-6622,3131 W Coast Hwy
Bayside Restaurant,3.5 star rating,(949) 721-1222,900 Bayside Dr
Modo Mio rustic italian kitchen,4 star rating,(949) 497-9770,7946 E Coast Hwy
The Crack Shack - Costa Mesa,4 star rating,(949) 383-5040,196 E 17th St
Circle Hook,4 star rating,(949) 200-9476,3432 Via Oporto
Andrea,4 star rating,(844) 445-2183,22701 S Pelican Hill Rd
"Olea, Cellar. Craft. Cook.",4.5 star rating,(949) 287-6807,2001 Westcliff Dr
Mendocino Farms,4.5 star rating,(949) 548-2500,450 E 17th St
Chihuahua Cerveza,4.5 star rating,(949) 771-8226,3107 Newport Blvd
Waterline,4 star rating,(949) 630-4390,"Located in <a href=""/biz/balboa-bay-resort-newport-beach"">Balboa Bay Resort</a>"
North Italia,4.5 star rating,(949) 629-7060,2957 Michelson Dr
Tupelo Junction Cafe,4.5 star rating,(949) 877-0280,508 29th Street Newport Bch
Kabob Republic,4.5 star rating,(949) 764-1778,1781-C Newport Blvd
Stag Bar + Kitchen,4.5 star rating,(949) 673-4470,121 Mc Fadden Pl
Pescadou Bistro,4.5 star rating,(949) 675-6990,3325 Newport Blvd
Crocker's The Well Dressed Frank,4.5 star rating,(949) 572-9293,211 Marine Ave
Flower Child,4 star rating,(949) 200-8141,1302 Bison Ave
Breakfast Republic,4 star rating,(949) 691-3055,410 E 17th St
Fly 'N' Fish Oyster Bar & Grill,4 star rating,(949) 673-8400,2304 W Oceanfront
Bandera,4 star rating,(949) 673-3524,3201 E Coast Hwy
Millions of Chicken,4.5 star rating,(714) 486-2075,2629 Harbor Blvd
The Alley,4 star rating,(949) 646-9126,4501 W Coast Hwy
Tiffanys Blue Box Cafe,5 star rating,(714) 540-5330,3333 Bristol St
Snipe Island Crafthouse,4.5 star rating,(949) 432-5799,305 Marine Ave
SideDoor,4 star rating,(949) 717-4322,3801 E Coast Hwy
Fig & Olive - Newport Beach,3.5 star rating,(949) 877-3005,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Sections Fine Meats,5 star rating,(949) 432-5120,333 E 17th St
Rendez Vous French Bakery and Cafe,4.5 star rating,(949) 791-8730,3330 E Coast Hwy
Billy's at the Beach,3.5 star rating,(949) 722-1100,2751 W Coast Hwy
Dave's Hot Chicken,4 star rating,(657) 383-7536,10832 Warner Ave
Haute Cakes Caffe,4 star rating,(949) 642-4114,1807 Westcliff Dr
Ho Sum Bistro,4 star rating,(949) 675-0896,3112 Newport Blvd
Sushi Roku,4 star rating,(949) 706-3622,327 Newport Center Dr
Lombardy's Market & Italian Deli,4.5 star rating,(949) 877-0061,508 W Balboa Blvd
Yichuan Restaurant,4 star rating,(949) 556-2200,3100 Irvine Ave
Westend,4 star rating,(949) 287-6994,814 W 19th St
RIBBRO BBQ,4.5 star rating,(949) 681-0108,2300 SE Bristol St
Plums Café  and Catering,4 star rating,(949) 722-7586,369 E 17th St
Basilic Restaurant,4.5 star rating,(949) 673-0570,217 Marine Ave
Rusty Pelican,3.5 star rating,(949) 642-3431,2735 W Coast Hwy
Wild Taco,4 star rating,(949) 673-9453,407 31st St
CURRENT Coastal Cuisine,4.5 star rating,(949) 476-2001,4500 MacArthur Blvd
Sapori Ristorante,4 star rating,(949) 644-4220,1080 Bayside Dr
The Cliff Restaurant,3.5 star rating,(949) 494-1956,"Located in <a href=""/biz/laguna-village-arts-and-flowers-laguna-beach"">Laguna Village Arts and Flowers</a>"
Vibe Organic Kitchen & Juice,4.5 star rating,(949) 478-4118,1000 Bristol St N
Hopdoddy Burger Bar,4 star rating,(949) 640-2337,311 Newport Center Dr
Mr G's Bistro Hospitality,4 star rating,(949) 375-4808,2406 Newport Blvd
Lotus Bistro,4.5 star rating,(949) 287-6827,325 Old Newport Blvd
Tres Muchachos Seafood Grill,4.5 star rating,(949) 220-7811,333 E 17th St
The Deck on Laguna Beach,4 star rating,(949) 494-6700,627 Sleepy Hollow Ln
Tommy Bahama Restaurant | Bar | Store - Newport Beach,4 star rating,(949) 760-8686,854 Avocado Ave
Trenta Pizza and Cucina,4.5 star rating,(949) 270-6652,1661 Superior Ave
Outpost Kitchen,4 star rating,(949) 873-5123,1792 Monrovia Ave
Gracias Madre,4 star rating,(949) 386-8100,1617 Westcliff Dr
Galley Cafe,4 star rating,(949) 673-4110,829 Harbor Island Dr
Back Bay Bistro,3.5 star rating,(949) 729-1144,1131 Back Bay Dr
MaDee Thai Kitchen,4 star rating,(949) 631-2731,401 E 17th St
Crystal Cove Shake Shack,4 star rating,(949) 464-0100,7703 E Coast Hwy
GuacAmigos,4 star rating,(949) 650-1818,2607 W Pacific Coast Hwy
A&O Kitchen+Bar,4 star rating,(949) 630-4285,"Located in <a href=""/biz/balboa-bay-resort-newport-beach"">Balboa Bay Resort</a>"
Mama's On 39,4.5 star rating,(714) 374-1166,21022 Beach Blvd
21 Oceanfront,3.5 star rating,(949) 673-2100,2100 W Oceanfront
Tackle Box,4.5 star rating,(949) 723-0502,3029 E Shore Ave
CAVA,4 star rating,(949) 200-7637,350 E 17th St
Harborside Restaurant and Grand Ballroom - Temp. CLOSED,4 star rating,(949) 673-4633,400 Main St
Bluewater Grill - Temp. CLOSED,4 star rating,(949) 675-3474,630 Lido Park Dr
Xanadu Café ,4 star rating,(949) 873-5101,100 W Coast Hwy
Blue Mediterranean Cafe,4 star rating,(949) 474-7300,3601 Jamboree Rd
O'hana Sushi & Ramen,4.5 star rating,(949) 432-5542,514 W Balboa Blvd
Tabu Shabu - Costa Mesa,4.5 star rating,(949) 642-2660,333 E 17th St
Ola Mexican Kitchen,4 star rating,(714) 969-7300,21040 Pacific Coast Hwy
Driftwood Kitchen,4 star rating,(949) 715-7700,619 Sleepy Hollow Ln
Succulent Coffee Roasters,4.5 star rating,N/A,501 Park Ave
Five Crowns,4 star rating,(949) 760-0331,3801 E Coast Hwy
Cluck Kitchen,4.5 star rating,(949) 418-9393,17915 MacArthur Blvd
Wild Strawberry Cafe,4 star rating,(949) 706-0462,240 Newport Center Dr
Nana San,4.5 star rating,(949) 474-7373,3601 Jamboree Rd
Canaletto Ristorante Veneto,4 star rating,(949) 640-0900,545 Newport Center Drive
Pirozzi Corona Del Mar,4 star rating,(949) 675-2932,2929 E Coast Hwy
CdM Restaurant,4.5 star rating,(949) 287-6600,2325 E Coast Hwy
il Barone Ristorante,4 star rating,(949) 955-2755,900 Bristol St N
Porch & Swing,4.5 star rating,(949) 418-7988,2010 Main St
Cafe Gratitude,5 star rating,(949) 386-8101,1617 Westcliff Dr
Fleming's Prime Steakhouse & Wine Bar,4 star rating,(949) 744-5479,"Located in <a href=""/biz/fashion-island-newport-beach-4"">Fashion Island</a>"
Dick Church's Restaurant,4 star rating,(714) 884-4522,2698 Newport Blvd
Da Hawaiian Kitchen,4.5 star rating,(714) 968-8900,9842 Adams Ave
Saigon Beach Restaurant,4.5 star rating,(949) 612-8067,2233 W Balboa Blvd
SHOR American Seafood Grill,3.5 star rating,(949) 729-1234,1107 Jamboree Rd
FishBonz Seafood Grill,4.5 star rating,(949) 269-7812,350 E 17th St
La Farola Empanadas,4.5 star rating,(714) 714-0588,2790 Harbor Blvd
Rose Bakery Cafe,4 star rating,(949) 675-3151,3536 E Coast Hwy
The Spaghetti Bender,4 star rating,(949) 645-0651,6204 W Coast Hwy
The Hobbit,4.5 star rating,(714) 997-1972,2932 E Chapman Ave
Oak & Coal,4.5 star rating,(949) 287-6150,333 E 17th St
Cucina Alessa,4 star rating,(949) 645-2148,6700 W Coast Hwy
SOCIAL,4 star rating,(949) 642-2425,512 W 19th St
Members Grill,5 star rating,(949) 630-4145,1221 W Coast Hwy
C'est Si Bon Bakery,4 star rating,(949) 645-0447,149 Riverside Ave
Nexx Burger,4 star rating,(949) 675-1000,2727 Newport Blvd
sushi ii,4.5 star rating,(949) 287-6268,100 West Coast Hwy
Jane's Corndogs,4 star rating,(949) 675-1770,106 McFadden Pl
Gary's New York Deli,4 star rating,(949) 675-2193,3309 East Coast Hwy
Pasta Corner,4 star rating,(949) 718-1380,401 Newport Center Dr
Pom & Olive,4.5 star rating,(714) 754-1974,1400 Bristol St
Rooster Café ,4 star rating,(714) 754-1944,750 St Clair St
Filomena's Italian Kitchen,4 star rating,(949) 642-3810,2400 Newport Blvd
Baba's Chicken,4.5 star rating,(714) 884-4256,2930 Bristol St
Poached Kitchen,4 star rating,(949) 860-1573,17595 Harvard Ave
Chocolate Bash,4 star rating,(855) 606-2274,2233 W Balboa Blvd
Santa Monica Seafood –  Costa Mesa,4 star rating,(949) 574-0274,154 E 17th St
Irvine Ranch Market,4 star rating,(949) 409-6500,200 Marine Ave
Offshore 9 Rooftop Lounge,4 star rating,(657) 204-4964,21100 Pacific Coast Hwy
Nguyen's Kitchen,4 star rating,(949) 873-5069,488 E 17th St
Sushi District,4.5 star rating,(949) 943-2398,488 E 17th St
My Greek Kitchen,4.5 star rating,(949) 722-3911,204 E 17th St
Pandor Artisan Bakery & Café ,4 star rating,(949) 209-5099,"Located in <a href=""/biz/westcliff-plaza-newport-beach-5"">Westcliff Plaza</a>"
San Shi Go,4.5 star rating,(949) 673-3724,205 Main St
Seoultown Supper,5 star rating,N/A,350 Clinton St
Greenleaf Chopshop,4 star rating,(949) 200-3950,234 E 17th St
Vaca,4 star rating,(714) 463-6060,695 Town Center Dr
La Súper Birria,4.5 star rating,(657) 245-3810,1041 W First St
Tavo's Cocina,4.5 star rating,(949) 418-8063,2222 Michelson Dr
Mint Leaf Thai Cuisine,4 star rating,(949) 675-9991,712 E Balboa Blvd
17th Street Deli,4.5 star rating,(949) 642-2377,369 E 17th St
Ten Asian Bistro,4 star rating,(949) 660-1010,4647 MacArthur Blvd
Simmzy's - Huntington Beach,4 star rating,(714) 831-1240,21028 Pacific Coast Hwy
Alta Coffee,4 star rating,(949) 675-0233,506 31st St
Nick's Laguna Beach,4.5 star rating,(949) 376-8595,440 S Coast Hwy
Laventina's Big Cheese Pizza,4 star rating,(949) 675-1980,2819 Newport Blvd
Gourmet Hot Dog Cart - Fashion Island,4.5 star rating,N/A,401 Newport Center Dr
Balboa Bar-B-Que,4 star rating,(949) 673-4000,600 E Bay A7
Twenty Eight,4 star rating,(949) 852-2828,19530 Jamboree Rd
Nourish Organic,5 star rating,(714) 617-4001,1170 Baker St
Royal Hen,4 star rating,(949) 873-5603,311 Marine Ave
Great Mex,4.5 star rating,(949) 675-0808,703 E Balboa Blvd
Tea Garden Creperie,3.5 star rating,(949) 673-0033,"Located in <a href=""/biz/sherman-library-and-gardens-corona-del-mar"">Sherman Library &amp; Gardens</a>"
501 Park Avenue Bistro,4.5 star rating,(949) 873-5884,501 Park Ave
Sgt Pepperoni's Pizza Store,4.5 star rating,(949) 852-9500,2300 SE Bristol St
El Mesquitito Grill,5 star rating,(949) 645-2226,2590 Newport Blvd
Summer House,4 star rating,(949) 612-7700,2744 E Coast Hwy
Charlie's Chili,3.5 star rating,(949) 675-7991,102 Mcfadden Pl
Il Farro Restaurant,4 star rating,(949) 723-5711,111 21st Pl
Muldoon's Irish Pub,4 star rating,(949) 640-4110,202 Newport Ctr Dr
